text,type
ถอย!ทัพเรือ ชะลอเอง ซื้อเรือดำน้ำไม่เสนอของบฯซื้อ ลำที่2-3ในงบฯปี2566หลังถูกชะลอมา3 ปีเพราะสถานการณ์โควิดฯยังไม่จบเศรษฐกิจยังไม่ดีหวั่นถูกถล่ม ตีตกในชั้น กมธ.งบฯตกน้ำ อีกเล็งจะใช้งบฯพัฒนา-ซ่อมบำรุงยุทโธปกรณ์ที่มีอยู่ดูแล สวัสดิการกำลังพลทร.,เกี่ยวข้อง
กองทัพเรือ ถอย ไม่เสนอของบจัดซื้อเรือดำน้ำจากจีนลำที่ 2 และ 3#เรือดำน้ำ #โควิด19 #ข่าววันนี้ #NationOnline,เกี่ยวข้อง
คนอดตาย รัฐบาลเสือกซื้อเรือดำน้ำ(มือไม่พายเอาเท้าราน้ำ) ,เกี่ยวข้อง
รัฐบาลประเทศมันเฮงซวยค่ะ​ มันเข้ามากอบอำนาจและผลประโยชน์​ ปัญหาอะไรก็คือไม่มีปัญญา​ ที่ผ่านมาคือ​ ประชาชนปากกัดตีนถีบ​กันเอง จนอยากถีบหน้าพวกมันแทนแล้ว,เกี่ยวข้อง
 รถถัง เรือดำน้ำ เครื่องบินรบ ต้องมาก่อนปากท้องประชาชนเสมอ.,เกี่ยวข้อง
เรือดำน้ำ i-19 อื้อ อิคุได้จมเรือบรรทุกเครื่องบิน Wasp ด้วยพลังของตอร์ปิโดล่ะ และยิงโดนเรือประจัญบานกับเรือพิฆาตด้วย อย่าลืมผลงานสไนเปอร์แห่งท้องทะเลของอิคุนะ ^^,ไม่เกี่ยวข้อง
 คุณเก้อเกอ เตรียมพื้นที่รับเรือดำน้ำ ของดรีมมี่ด้วยนะคะ 555555555555555555,ไม่เกี่ยวข้อง
จริงๆ กุไม่ติดประเด็นกับการเสียภาษีเลย ถ้ากุได้ใช้ชีวิตที่มันสมเหตุสมผลอะ รถสาธารณะ ถนนดีดี ระบบประกันสุขภาพดีดีอะ เสียไปนี่ได้อะไรกลับมาบ้างก่อนอะ เรือดำน้ำ กับเครื่องบินรบเหรอ วัคซีนกุก็จ่ายตัง,เกี่ยวข้อง
 มาเอาเรือดำน้ำ,ไม่เกี่ยวข้อง
  บอนซ์คั๊บบ ลูกบอนซ์ไป ซื้อผักชีที่ร.พ แล้วแวะร้านข้าวแกงในตึกชั้น3คั๊บ แล้วลงมาหาพี่บูมที่ชั้น90 แล้วพาพี่บูมขึ้นไปชั้น5 เพื่อไปซื้อมะนาว แล้วแวะไปชั้น7 ไปซื้อเรือดำน้ำ แล้วแวะขึ้นไปชั้นล่าง เพื่อฟังธรรมมะคั๊บ แล้วต่อด้วย หน้าฮ้านหมอลำหน้าร.พ 555555555,ไม่เกี่ยวข้อง
 โดนใจสุดๆ รบ นี้ กู้จนขยับเพดาน ซื้อเรือดำน้ำ เครื่องบิน อาวุธ ค่าทางด่วน bts ขึ้น หมูแพง ผักแพง,เกี่ยวข้อง
คือสอบออนไลน์อยู่หอละแบบป้าด่าร้าบานอยู่ ด่าประยุทธ์ด่าเทน ละคือกลั้นขำอยู่ไง ด่าตั้งแต่เรื่องวัคซีนยันเรือดำน้ำ,เกี่ยวข้อง
 เรือดำน้ำ รถถังสไตรเกอร์ ยังผ่อนไม่หมด ทหารอากาศขอเครื่องบินอีกฝูง กลัวไม่เท่า คนอื่นเค้า,เกี่ยวข้อง
จริง ภาษีอะเก็บได้นะ แต่เก็บไปทำไร ไปใช้ประโยชน์ไร ที่คนไม่อยากเสียภาษีให้อิรัฐเหี้ยนี่ไม่ใช่ว่างกเงินเลยอะ แต่เป็นเพราะเสียภาษีไปให้มันซื้อเรือดำน้ำ ซื้อแก๊สน้ำตามาสลายม็อบ ใครจะไปอยากเสียให้มัน,เกี่ยวข้อง
  ถ้าเป็นในสภาจะเทียบกะเรือดำน้ำ,ไม่เกี่ยวข้อง
 55555 เรือดำน้ำ โรงแรมหรู 55555555,ไม่เกี่ยวข้อง
อิห่า รีล่าประเทศไทยจะวนลูปจริงๆหรอ เหมือนที่มันซื้อเรือดำน้ำ ต้องกู้เงินมาดูแลประชาชน อิเวนนนนนนนนนนนนนนนนนน,เกี่ยวข้อง
 กุมีเรือดำน้ำ,ไม่เกี่ยวข้อง
ถ้าไทยยังขืนคบจีนพัฒนาโครงข่าย5Gต่อ ดีลF35ก็ล่มแล้วถ้าไม่มีรปห. ไล่รื้อระบบโครงสร้างการบริหารให้ทัดเทียมนานาประเทศเขาแต่แรก จะซื้อเรือดำน้ำ ซื้อเครื่องบินใหม่ก็จะไม่ขัดเลย ,เกี่ยวข้อง
 ซื้อเรือดำน้ำ ซื้อมาแล้วก็ไม่ได้ใช้ก็ยังจะโง่ซื้อ,เกี่ยวข้อง
ภาษีความเค็มเป็นเรื่องดีนะ พอของแพงคนจะกินน้อยลง แต่ควรเอาเงินตรงนี้ไป subsidize อาหารเพื่อสุขภาพให้มันถูกลงด้วย ไม่ใช่เอาไปซื้อเรือดำน้ำ,เกี่ยวข้อง
